"","Year","Month","Day","Tournament","Round","serve_pts","aces","dfs","first_in","first_won","second_in","second_won","bk_pts","bp_saved","return_pts","return_pts_won","winners","winners_fh","winners_bh","unforced","unforced_fh","unforced_bh","pts","pts_won","aces","unret","forced_err","pts_won_lte_3_shots","wide","body","t","shots","pt_ending","winners","induced_forced","unforced","serve_return","shots_in_pts_won","shots_in_pts_lost"
"1","2012","04","27","Fes","SF",66,2,3,46,29,20,7,10,7,62,21,11,4,5,38,26,9,66,36,2,0,5,9,6,56,4,355,50,9,6,35,56,159,196
"2","2013","05","16","Rome","R16",48,5,2,37,26,11,8,2,1,60,29,23,6,12,14,5,7,48,34,5,0,4,16,10,14,24,215,38,18,8,12,50,121,94
"3","2013","05","18","Rome","SF",36,1,1,24,7,12,6,6,1,53,19,4,1,2,17,6,10,36,13,1,0,3,6,6,23,7,151,27,3,8,16,40,48,103
"4","2013","06","14","Nuremburg","SF",98,5,3,60,36,38,18,13,9,58,23,18,8,4,21,9,9,98,54,5,1,11,27,20,50,28,251,42,12,12,18,41,107,144
"5","2013","06","21","s_Hertogenbosch","SF",44,1,0,29,17,15,9,5,2,57,34,21,8,9,16,11,5,44,26,1,3,5,10,10,24,10,216,41,17,8,16,48,137,79
"6","2013","06","22","s_Hertogenbosch","F",55,3,4,35,25,20,10,5,3,55,31,20,8,7,24,8,12,55,35,3,2,5,13,8,32,14,225,45,15,10,20,47,133,92
"7","2013","07","14","Budapest","F",102,2,5,70,41,32,15,12,8,95,50,35,24,9,64,28,31,102,56,2,0,8,16,13,66,23,654,112,33,20,59,88,357,297
"8","2013","08","19","New_Haven","F",43,1,1,32,25,11,9,4,4,47,24,19,8,5,6,2,3,43,34,1,5,7,15,12,12,19,136,26,13,8,5,34,105,31
"9","2013","08","23","New_Haven","SF",61,0,3,38,26,23,9,5,2,57,28,26,15,10,30,17,10,61,35,0,1,5,12,17,27,17,275,62,25,10,27,51,167,108
"10","2013","08","27","US_Open","R128",82,5,5,62,41,20,6,8,3,92,47,15,9,1,42,23,14,82,47,5,0,12,20,27,25,30,356,51,10,4,37,73,175,181
"11","2013","08","31","US_Open","R32",36,3,1,29,23,7,3,1,1,41,27,13,5,4,14,6,7,36,26,3,1,4,14,13,10,13,136,25,9,3,13,32,94,42
"12","2013","09","25","Tokyo","R16",83,0,9,51,33,32,12,10,3,111,49,28,17,11,41,17,15,83,45,0,0,15,23,16,41,26,298,75,28,15,32,79,155,143
"13","2013","10","20","Moscow","F",72,1,3,56,33,16,12,5,3,87,45,24,10,13,29,17,9,72,45,1,0,10,18,20,31,19,297,67,23,18,26,65,186,111
"14","2013","10","31","Sofia","RR",45,5,6,26,19,19,6,2,0,43,31,17,7,3,18,5,7,45,25,5,2,4,14,17,11,17,139,29,10,7,12,37,82,57
"15","2013","11","03","Sofia","F",62,2,4,46,32,16,10,4,1,71,31,18,10,6,20,11,5,62,42,2,0,7,12,9,44,9,284,47,16,15,16,58,175,109
"16","2014","01","05","Sydney","R32",61,1,7,40,20,21,5,12,5,58,26,7,3,2,31,12,12,61,25,1,1,4,9,6,41,14,168,31,5,2,24,46,76,92
"17","2014","01","14","Australian_Open","R128",39,3,2,24,19,15,9,2,2,35,22,12,4,2,12,7,3,39,28,3,3,4,11,9,14,16,159,24,6,8,10,27,111,48
"18","2014","01","18","Australian_Open","R32",50,1,3,25,17,25,14,4,2,54,31,19,11,6,24,9,12,50,31,1,1,6,15,17,14,19,257,42,17,4,21,48,134,123
"19","2014","01","20","Australian_Open","R16",66,0,4,42,26,24,14,8,4,82,40,21,12,7,24,17,3,66,40,0,2,9,14,18,22,25,393,49,19,10,20,67,215,178
"20","2014","01","22","Australian_Open","QF",43,2,1,29,13,14,6,9,4,43,13,9,2,5,24,16,7,43,19,2,0,4,6,11,22,10,218,34,7,4,23,35,74,144
"21","2014","02","14","Doha","QF",42,3,0,29,21,13,9,3,3,34,21,31,20,8,10,6,4,42,30,3,0,1,6,9,17,16,205,43,28,5,10,33,146,59
"22","2014","02","15","Doha","SF",66,0,2,45,26,21,9,7,3,64,39,25,10,14,33,11,20,66,35,0,1,6,8,19,25,22,378,67,24,12,31,58,222,156
"23","2014","02","16","Doha","F",55,2,1,37,27,18,11,4,4,59,28,23,13,7,8,5,2,55,38,2,1,6,18,21,17,17,214,38,20,11,7,52,123,91
"24","2014","03","07","Indian_Wells","R64",47,2,1,31,21,16,8,5,3,49,30,24,10,12,17,9,7,47,29,2,0,6,10,12,20,15,230,47,22,9,16,43,148,82
"25","2014","03","09","Indian_Wells","R32",83,5,4,50,39,33,15,8,5,78,33,21,9,5,30,13,13,83,54,5,2,18,29,34,21,28,300,51,14,11,26,61,157,143
"26","2014","03","11","Indian_Wells","R16",69,2,3,37,25,32,13,6,1,75,35,15,9,3,34,14,17,69,38,2,1,10,19,20,26,23,240,56,12,13,31,51,136,104
"27","2014","03","13","Indian_Wells","QF",59,4,3,40,30,19,10,10,10,39,20,17,6,7,20,9,8,59,40,4,0,5,13,20,14,25,198,41,13,11,17,32,113,85
"28","2014","03","14","Indian_Wells","SF",54,0,4,41,22,13,6,6,2,67,26,20,11,9,44,16,24,54,28,0,0,2,4,13,25,16,370,65,20,5,40,60,204,166
"29","2014","04","24","Stuttgart","R32",78,1,3,49,30,29,16,7,4,67,20,20,10,9,31,13,15,78,46,1,0,10,16,30,27,21,250,55,19,8,28,49,135,115
"30","2014","05","06","Madrid","R64",39,2,3,24,19,15,8,3,2,53,32,17,5,9,11,3,5,39,27,2,1,7,15,11,14,14,116,28,14,6,8,42,74,42
"31","2014","05","07","Madrid","R32",51,9,0,30,21,21,13,4,2,76,36,29,8,12,23,13,10,51,34,9,0,1,13,14,20,17,296,54,20,11,23,66,165,131
"32","2014","05","08","Madrid","R16",97,4,3,53,39,44,19,7,4,99,46,26,14,7,34,19,12,97,58,4,1,10,22,25,52,20,365,65,21,13,31,76,207,158
"33","2014","05","09","Madrid","QF",49,1,0,32,19,17,10,2,0,48,29,9,8,0,14,5,9,49,29,1,0,11,21,17,14,18,146,28,8,6,14,39,78,68
"34","2014","05","10","Madrid","SF",95,8,2,57,42,38,21,6,4,121,55,24,8,6,28,13,13,95,63,8,2,17,39,29,29,37,301,49,14,9,26,88,161,140
"35","2014","05","11","Madrid","F",84,4,4,49,33,35,12,6,1,75,31,15,7,4,34,12,18,84,45,4,0,12,24,24,38,21,268,52,11,11,30,57,109,159
"36","2014","05","27","Roland_Garros","R128",36,3,1,18,15,18,11,1,0,50,31,8,3,2,8,2,5,36,26,3,0,6,17,7,18,11,96,19,5,7,7,37,65,31
"37","2014","05","29","Roland_Garros","R64",58,5,3,32,24,26,12,6,4,69,36,19,10,4,15,7,5,58,36,5,0,6,19,7,33,17,235,43,14,17,12,57,122,113
"38","2014","05","31","Roland_Garros","R32",52,2,3,32,22,20,12,8,8,57,32,20,8,9,16,6,7,52,34,2,1,8,20,13,28,11,200,43,17,13,13,50,114,86
"39","2014","06","02","Roland_Garros","R16",66,2,6,34,20,32,16,7,3,56,33,19,9,8,25,11,8,66,36,2,0,4,11,16,36,14,295,51,17,15,19,53,176,119
"40","2014","06","04","Roland_Garros","QF",60,1,3,44,25,16,8,9,7,48,29,17,11,5,23,11,9,60,33,1,0,5,11,11,40,9,281,52,16,16,20,45,150,131
"41","2014","06","05","Roland_Garros","SF",66,3,2,50,37,16,9,1,0,67,31,23,17,3,24,15,7,66,46,3,0,5,13,16,32,17,323,54,20,12,22,56,186,137
"42","2014","06","07","Roland_Garros","F",112,1,4,71,40,41,13,20,11,115,54,20,14,5,41,17,20,112,53,1,0,7,15,24,61,27,482,68,19,12,37,89,229,253
"43","2014","06","24","Wimbledon","R128",43,3,1,26,22,17,12,0,0,68,34,19,8,8,16,8,7,43,34,3,0,12,23,10,21,12,181,39,16,8,15,50,117,64
"44","2014","06","27","Wimbledon","R64",90,5,2,59,38,31,18,7,4,92,39,27,9,11,39,21,16,90,56,5,2,14,28,27,47,16,325,68,20,11,37,70,187,138
"45","2014","06","28","Wimbledon","R32",51,6,2,31,24,20,12,3,3,76,37,24,13,5,27,20,5,51,36,6,0,6,19,19,14,18,213,56,18,13,25,63,125,88
"46","2014","07","01","Wimbledon","R16",39,2,2,19,16,20,14,2,2,56,32,18,6,8,12,6,4,39,30,2,2,7,18,11,12,16,175,29,14,5,10,45,120,55
"47","2014","07","02","Wimbledon","QF",50,3,3,25,20,25,13,2,1,53,30,16,11,2,14,8,3,50,33,3,0,10,19,14,20,16,143,33,13,9,11,41,88,55
"48","2014","07","03","Wimbledon","SF",78,1,5,50,28,28,14,9,6,67,23,12,5,6,36,15,16,78,42,1,0,9,15,18,38,22,239,51,11,9,31,50,115,124
"49","2014","07","09","Bucharest","R32",49,1,4,20,13,29,16,6,4,55,32,15,11,2,23,14,5,49,29,1,1,6,18,12,27,10,177,34,13,2,19,39,91,86
"50","2014","07","10","Bucharest","R16",59,0,3,39,26,20,6,7,4,46,26,16,9,7,28,10,15,59,32,0,0,5,10,11,38,10,246,51,16,10,25,42,130,116
"51","2014","07","11","Bucharest","QF",44,1,1,31,24,13,6,2,1,49,30,24,13,10,14,8,5,44,30,1,0,3,8,10,30,4,202,43,23,7,13,41,132,70
"52","2014","07","12","Bucharest","SF",89,7,3,61,43,28,9,9,5,82,46,34,17,10,39,16,20,89,52,7,0,7,19,36,36,17,422,78,27,15,36,73,230,192
"53","2014","07","13","Bucharest","F",51,3,2,32,23,19,12,6,5,63,34,29,12,14,11,6,3,51,35,3,0,5,17,15,21,15,206,45,26,10,9,54,135,71
"54","2014","08","14","Cincinnati","R16",68,5,6,36,23,32,19,5,3,59,27,15,8,2,28,13,9,68,42,5,0,9,19,22,22,24,231,36,10,4,22,44,125,106
"55","2014","08","15","Cincinnati","QF",83,5,4,48,22,35,16,10,2,97,48,17,6,6,31,14,13,83,38,5,0,5,18,22,44,17,341,50,12,11,27,71,166,175
"56","2014","09","24","Wuhan","R32",91,4,6,49,32,42,16,12,6,88,39,22,9,6,40,15,19,91,48,4,3,15,26,28,33,30,313,59,15,10,34,68,159,154
"57","2014","09","29","Beijing","R16",57,0,2,31,20,26,18,2,2,55,27,14,7,6,23,9,12,57,38,0,1,5,7,24,10,23,302,47,13,13,21,45,177,125
"58","2014","10","01","Beijing","R32",65,4,2,36,28,29,14,5,3,77,33,15,6,5,27,7,18,65,42,4,0,12,22,17,28,20,228,44,11,8,25,61,110,118
"59","2014","10","03","Beijing","R16",108,3,8,63,38,45,19,12,3,110,52,32,20,9,68,33,27,108,57,3,0,7,21,34,48,26,447,107,29,18,60,88,230,217
"60","2014","10","20","Singapore","RR",47,0,1,23,19,24,15,2,2,56,26,11,5,5,16,9,6,47,34,0,1,12,18,14,21,12,138,26,10,1,15,41,75,63
"61","2014","10","22","Singapore","RR",53,2,2,34,22,19,13,6,6,42,25,10,4,4,16,7,7,53,35,2,0,5,14,14,21,18,179,29,8,7,14,27,110,69
"62","2014","10","24","Singapore","RR",101,6,8,68,46,33,12,13,8,109,46,31,15,10,49,14,27,101,58,6,0,20,38,31,30,40,320,75,25,9,41,87,140,180
"63","2014","10","25","Singapore","SF",47,4,4,27,23,20,10,2,1,48,26,25,13,8,19,8,7,47,33,4,0,6,14,13,17,17,244,45,21,9,15,41,141,103
"64","2014","10","26","Singapore","F",51,2,3,28,13,23,8,9,3,51,20,5,2,1,23,12,8,51,21,2,0,7,12,9,28,14,147,28,3,5,20,37,50,97
"65","2015","01","06","Shenzhen","R32",77,4,9,51,33,26,14,6,2,85,37,25,10,10,40,12,19,77,47,4,1,7,18,17,27,32,364,62,20,11,31,68,204,160
"66","2015","01","08","Shenzhen","QF",55,2,4,35,24,20,10,5,3,50,23,15,10,3,20,10,6,55,34,2,0,6,13,15,26,12,190,44,13,15,16,43,115,75
"67","2015","01","08","Shenzhen","R16",51,3,2,35,24,16,9,6,5,56,30,13,6,2,16,9,5,51,33,3,2,6,15,18,16,16,200,31,8,9,14,42,119,81
"68","2015","01","09","Shenzhen","SF",53,1,4,34,23,19,9,6,4,52,30,21,15,4,21,9,8,53,32,1,1,5,8,17,23,13,248,48,19,12,17,44,146,102
"69","2015","01","10","Shenzhen","F",40,1,0,27,22,13,8,0,0,53,26,19,11,7,12,5,7,40,30,1,0,6,10,14,10,16,209,37,18,7,12,44,131,78
"70","2015","01","19","Australian_Open","R128",58,1,2,32,21,26,11,6,3,62,37,15,8,6,29,17,10,58,32,1,0,5,9,17,21,20,305,46,14,5,27,48,192,113
"71","2015","01","21","Australian_Open","R64",52,7,2,38,30,14,6,1,1,51,24,21,9,4,14,7,5,52,36,7,1,10,19,13,17,22,167,32,13,7,12,40,103,64
"72","2015","01","23","Australian_Open","R32",65,3,5,27,22,38,21,4,2,74,33,30,15,10,23,9,9,65,43,3,2,7,16,17,26,22,271,54,25,11,18,62,156,115
"73","2015","01","25","Australian_Open","R16",50,6,4,29,23,21,10,2,0,71,36,25,10,8,15,6,5,50,33,6,1,7,18,16,18,16,202,37,18,8,11,62,125,77
"74","2015","01","27","Australian_Open","QF",50,3,4,28,15,22,8,6,1,61,23,13,4,5,27,13,10,50,23,3,1,7,13,12,19,19,215,41,9,9,23,45,106,109
"75","2015","02","17","Dubai","R32",42,2,6,17,13,25,17,1,1,61,33,19,8,7,14,5,3,42,30,2,2,5,11,5,19,18,156,28,15,5,8,48,105,51
"76","2015","02","18","Dubai","R16",57,3,5,36,25,21,11,4,2,60,28,15,7,4,29,13,11,57,36,3,1,12,17,25,18,14,226,47,11,12,24,46,129,97
"77","2015","02","19","Dubai","QF",80,3,7,48,32,32,15,9,4,105,47,14,5,6,44,19,18,80,47,3,0,14,19,18,42,20,345,69,11,21,37,89,179,166
"78","2015","02","20","Dubai","SF",78,2,5,48,28,30,17,8,5,60,32,17,10,5,37,15,17,78,45,2,0,7,16,28,27,23,346,61,15,14,32,53,201,145
"79","2015","02","21","Dubai","F",79,1,7,49,31,30,13,7,3,70,34,16,8,6,28,12,9,79,44,1,1,11,21,22,40,16,288,42,14,7,21,51,159,129
"80","2015","03","13","Indian_Wells","R64",80,1,7,52,34,28,11,10,6,86,44,15,6,8,33,19,7,80,45,1,0,10,16,17,44,18,309,57,14,17,26,61,171,138
"81","2015","03","15","Indian_Wells","R32",96,1,7,52,33,44,25,14,12,88,43,23,9,13,27,9,11,96,58,1,0,11,20,26,39,31,388,60,22,18,20,74,225,163
"82","2015","03","17","Indian_Wells","R16",67,3,4,47,29,20,11,2,0,56,25,17,10,4,16,7,5,67,40,3,0,11,21,19,28,20,176,36,14,10,12,39,110,66
"83","2015","03","18","Indian_Wells","QF",93,2,3,68,41,25,13,10,6,79,42,29,11,15,31,10,18,93,54,2,1,8,17,23,47,23,387,72,26,18,28,65,232,155
"84","2015","03","22","Indian_Wells","F",107,0,3,75,38,32,13,16,7,93,49,22,14,8,47,21,23,107,51,0,0,9,13,34,36,37,556,77,22,11,44,71,314,242
"85","2015","03","27","Miami","R64",72,4,6,39,24,33,11,10,4,82,46,17,7,6,32,15,11,72,35,4,0,13,20,8,43,21,212,49,13,10,26,68,107,105
"86","2015","03","29","Miami","R32",67,0,5,45,27,22,10,7,3,67,35,13,7,6,25,12,8,67,37,0,0,13,18,11,40,16,169,37,13,4,20,41,87,82
"87","2015","03","30","Miami","R16",66,0,4,44,27,22,13,7,4,67,34,13,7,6,36,15,17,66,40,0,0,6,12,9,35,22,372,55,13,10,32,59,213,159
"88","2015","04","01","Miami","QF",59,0,0,44,27,15,10,4,2,52,27,17,13,3,25,14,11,59,37,0,1,6,13,10,33,16,269,51,16,10,25,42,153,116
"89","2015","04","02","Miami","SF",95,1,3,66,40,29,15,6,2,79,24,10,7,1,27,14,10,95,55,1,1,15,27,15,59,21,320,39,8,7,24,58,136,184
"90","2015","04","22","Stuttgart","R16",94,2,4,71,45,23,11,8,5,82,37,19,11,6,28,15,9,94,56,2,0,15,25,14,52,28,293,51,17,10,24,64,164,129
"91","2015","04","24","Stuttgart","QF",62,2,0,46,18,16,7,8,1,65,44,26,12,12,27,12,15,62,25,2,0,6,14,12,30,20,307,61,24,10,27,61,159,148
"92","2015","04","25","Stuttgart","SF",105,4,2,69,41,36,17,11,5,132,55,41,16,21,54,25,27,105,58,4,0,7,15,37,35,33,660,115,37,26,52,107,334,326
"93","2015","05","03","Madrid","R64",79,1,1,54,35,25,11,10,7,71,26,17,6,9,42,18,23,79,46,1,1,11,19,13,41,25,345,76,15,20,41,55,157,188
"94","2015","05","13","Rome","R32",50,3,3,30,26,20,8,3,2,37,24,23,13,7,16,9,4,50,34,3,0,5,16,12,24,14,170,43,20,10,13,28,121,49
"95","2015","05","14","Rome","R16",38,3,3,22,17,16,9,2,1,48,28,12,4,4,10,4,3,38,26,3,1,2,13,13,15,10,128,20,8,5,7,30,87,41
"96","2015","05","15","Rome","QF",49,4,2,32,25,17,8,5,5,38,24,20,12,4,16,7,7,49,33,4,0,13,22,21,9,19,182,37,16,7,14,34,114,68
"97","2015","05","16","Rome","SF",103,0,1,88,41,15,4,20,11,106,55,30,13,17,58,38,19,103,45,0,0,7,11,24,61,18,644,102,30,15,57,94,330,314
"98","2015","05","24","Roland_Garros","R128",57,2,3,37,28,20,9,3,0,71,36,24,14,7,22,14,5,57,37,2,1,5,16,15,20,22,292,51,21,11,19,60,153,139
"99","2015","05","27","Roland_Garros","R64",56,0,2,35,18,21,9,8,3,50,16,5,4,1,18,10,6,56,27,0,0,8,12,14,32,10,158,26,5,5,16,39,61,97
"100","2015","06","16","Birmingham","R32",54,5,1,31,24,23,13,2,1,56,27,13,4,4,12,5,6,54,37,5,0,8,20,13,27,14,159,27,8,8,11,40,99,60
"101","2015","06","18","Birmingham","R16",43,5,2,34,27,9,3,2,1,50,27,14,4,5,19,8,9,43,30,5,0,9,17,18,15,10,133,33,9,7,17,40,73,60
"102","2015","06","19","Birmingham","QF",81,3,4,48,34,33,17,10,7,83,32,24,9,10,29,15,10,81,51,3,2,15,29,16,44,21,251,49,19,5,25,63,135,116
"103","2015","08","12","Toronto","R32",57,0,2,45,36,12,6,3,3,65,25,12,9,3,22,14,6,57,42,0,0,9,17,24,19,14,243,42,12,10,20,46,141,102
"104","2015","08","13","Toronto","R16",90,3,2,60,31,30,15,12,4,117,63,26,15,8,48,19,27,90,46,3,0,9,19,26,38,25,528,83,23,14,46,100,275,253
"105","2015","08","14","Toronto","QF",75,2,4,48,32,27,11,11,7,71,33,25,14,9,33,13,16,75,43,2,0,11,26,20,32,23,325,57,23,5,29,58,167,158
"106","2015","08","15","Toronto","SF",66,2,1,47,32,19,7,8,5,71,34,29,14,12,45,23,21,66,39,2,1,5,15,24,22,20,315,78,26,8,44,64,167,148
"107","2015","08","16","Toronto","F",114,1,2,81,40,33,15,23,14,89,42,29,17,11,64,33,29,114,55,1,0,9,19,36,51,27,454,105,28,15,62,68,205,249
"108","2015","08","19","Cincinnati","R32",97,3,3,64,42,33,13,11,4,120,58,39,20,15,38,23,12,97,55,3,1,12,23,29,46,22,343,77,35,7,35,89,191,152
"109","2015","08","20","Cincinnati","R16",102,3,0,71,40,31,19,17,13,117,56,29,19,7,44,26,18,102,59,3,0,9,21,38,34,30,589,85,26,15,44,101,272,317
"110","2015","08","21","Cincinnati","QF",72,1,4,43,28,29,13,8,5,76,37,20,12,6,22,12,6,72,41,1,1,12,19,20,34,18,266,46,18,10,18,61,150,116
"111","2015","08","22","Cincinnati","SF",42,2,3,28,19,14,6,2,0,58,35,20,9,8,16,7,6,42,25,2,1,8,11,13,14,15,226,35,17,5,13,49,151,75
"112","2015","08","23","Cincinnati","F",71,2,1,52,32,19,6,6,3,80,30,18,11,5,17,9,7,71,38,2,0,14,20,13,37,21,197,40,16,8,16,43,103,94
"113","2015","09","01","US_Open","R128",26,2,1,15,13,11,7,0,0,37,21,12,5,4,5,2,2,26,20,2,1,4,10,7,9,10,114,17,9,4,4,26,89,25
"114","2015","09","03","US_Open","R64",52,4,3,27,21,25,14,1,0,64,30,18,11,2,13,4,6,52,35,4,1,10,18,18,17,17,208,34,13,11,10,46,120,88
"115","2015","09","07","US_Open","R16",113,1,6,82,46,31,12,13,6,107,59,16,7,5,36,16,14,113,58,1,3,10,20,28,45,40,419,58,12,16,30,85,236,183
"116","2015","09","09","US_Open","QF",88,4,5,67,47,21,6,5,0,111,53,39,19,14,27,7,15,88,53,4,2,11,24,20,26,41,429,62,33,7,22,88,232,197
"117","2015","09","11","US_Open","SF",45,0,3,31,13,14,5,10,4,47,18,10,7,3,26,14,9,45,18,0,0,1,4,13,17,15,253,40,10,7,23,37,107,146
"118","2015","09","22","Guangzhou","R32",52,5,7,31,24,21,6,3,1,58,31,23,11,7,28,13,8,52,30,5,0,9,17,18,8,26,173,40,18,1,21,38,108,65
"119","2015","09","23","Guangzhou","R16",46,3,1,29,18,17,9,6,4,45,27,20,7,10,16,9,6,46,27,3,0,7,14,13,16,17,144,42,17,10,15,33,82,62
"120","2015","09","24","Guangzhou","QF",55,3,3,28,19,27,8,7,3,62,23,14,5,5,29,17,9,55,27,3,1,8,16,21,12,22,174,39,10,3,26,46,59,115
"121","2015","09","29","Wuhan","R32",48,3,2,28,20,20,13,4,3,40,23,17,7,7,8,2,4,48,33,3,0,7,18,14,15,19,122,27,14,7,6,26,85,37
"122","2015","09","30","Wuhan","R16",109,2,4,64,40,45,21,14,9,92,38,23,16,4,45,16,25,109,61,2,1,11,27,34,38,37,341,78,20,17,41,63,177,164
"123","2015","10","25","Singapore","RR",41,2,1,24,19,17,14,2,2,52,26,14,9,2,15,6,8,41,33,2,1,4,8,14,14,13,243,32,11,7,14,44,147,96
"124","2015","10","27","Singapore","RR",71,1,2,50,29,21,8,11,6,63,27,10,6,3,29,15,12,71,37,1,0,8,11,14,38,19,293,44,9,8,27,47,132,161
"125","2015","10","29","Singapore","RR",69,0,4,40,21,29,14,8,4,82,32,19,13,6,31,12,15,69,35,0,0,8,15,17,31,21,341,57,19,11,27,69,152,189
"126","2016","01","12","Sydney","R16",79,2,4,58,38,21,10,5,3,78,34,18,6,9,32,16,12,79,48,2,1,11,22,26,26,27,300,54,15,11,28,65,164,136
"127","2016","01","13","Sydney","QF",81,2,2,57,30,24,14,7,4,73,34,22,13,5,34,20,12,81,44,2,2,7,18,20,42,19,280,56,18,6,32,56,158,122
"128","2016","01","14","Sydney","SF",97,1,3,70,43,27,12,7,3,116,54,31,19,10,44,18,23,97,55,1,1,9,20,24,50,23,504,93,29,23,41,94,276,228
"129","2016","01","19","Australian_Open","R128",49,1,0,36,18,13,4,7,2,72,30,11,5,5,21,11,10,49,22,1,0,8,12,15,18,16,242,34,10,3,21,60,106,136
"130","2016","02","07","Fed_Cup_World_Group_R1","RR",92,1,5,60,40,32,14,13,9,90,39,9,3,5,20,7,8,92,54,1,0,19,24,32,33,27,324,34,8,11,15,69,148,176
"131","2016","02","17","Dubai","R16",73,1,3,49,29,24,7,9,5,82,32,13,7,4,34,17,14,73,36,1,1,8,11,12,41,20,288,52,11,10,31,64,121,167
"132","2016","02","23","Doha","R32",96,2,6,53,29,43,19,15,7,117,55,31,18,11,51,21,24,96,48,2,0,7,15,24,50,22,396,85,29,11,45,101,182,214
"133","2016","03","11","Indian_Wells","R64",41,2,0,30,18,11,8,3,1,39,29,18,6,10,14,6,8,41,26,2,0,3,6,17,15,9,221,37,16,7,14,37,169,52
"134","2016","03","13","Indian_Wells","R32",44,1,0,33,24,11,8,1,0,55,26,16,11,3,16,9,7,44,32,1,1,6,10,15,22,7,218,39,14,9,16,47,144,74
"135","2016","03","16","Indian_Wells","QF",58,1,2,36,21,22,11,9,5,50,15,9,6,2,17,11,4,58,32,1,0,7,15,10,30,18,145,25,8,2,15,34,71,74
"136","2016","03","24","Miami","R64",56,1,1,40,26,16,8,4,1,74,41,25,15,9,31,23,7,56,34,1,0,3,9,23,16,17,326,65,24,11,30,65,196,130
"137","2016","03","26","Miami","R32",60,0,0,41,26,19,12,8,7,77,40,17,11,6,23,13,10,60,38,0,0,9,16,17,23,20,221,46,17,6,23,65,114,107
"138","2016","03","28","Miami","R16",54,2,2,42,25,12,8,4,1,69,35,11,3,6,19,11,6,54,33,2,0,9,16,19,15,20,206,33,9,7,17,52,95,111
"139","2016","03","29","Miami","QF",81,0,2,51,29,30,16,9,4,96,39,17,9,8,44,18,24,81,45,0,0,5,11,25,32,24,435,74,17,15,42,75,234,201
