"","Year","Month","Day","Tournament","Round","Surface","Win_Lose","serve_pts","aces","dfs","first_in","first_won","second_in","second_won","bk_pts","bp_saved","return_pts","return_pts_won","winners","winners_fh","winners_bh","unforced","unforced_fh","unforced_bh","pts_won","unret","forced_err","pts_won_lte_3_shots","wide","body","t"
"1","2013","05","16","Rome","R16","clay","W",48,5,2,37,26,11,8,2,1,60,29,23,6,12,14,5,7,34,0,4,16,10,14,24
"2","2013","05","18","Rome","SF","clay","L",36,1,1,24,7,12,6,6,1,53,19,4,1,2,17,6,10,13,0,3,6,6,23,7
"3","2013","06","14","Nuremburg","SF","clay","L",98,5,3,60,36,38,18,13,9,58,23,18,8,4,21,9,9,54,1,11,27,20,50,28
"4","2013","06","21","s_Hertogenbosch","SF","grass","W",44,1,0,29,17,15,9,5,2,57,34,21,8,9,16,11,5,26,3,5,10,10,24,10
"5","2013","06","22","s_Hertogenbosch","F","grass","W",55,3,4,35,25,20,10,5,3,55,31,20,8,7,24,8,12,35,2,5,13,8,32,14
"6","2013","07","14","Budapest","F","clay","W",102,2,5,70,41,32,15,12,8,95,50,35,24,9,64,28,31,56,0,8,16,13,66,23
"7","2013","08","19","New_Haven","F","hard","W",43,1,1,32,25,11,9,4,4,47,24,19,8,5,6,2,3,34,5,7,15,12,12,19
"8","2013","08","23","New_Haven","SF","hard","W",61,0,3,38,26,23,9,5,2,57,28,26,15,10,30,17,10,35,1,5,12,17,27,17
"9","2013","08","27","US_Open","R128","hard","W",82,5,5,62,41,20,6,8,3,92,47,15,9,1,42,23,14,47,0,12,20,27,25,30
"10","2013","08","31","US_Open","R32","hard","L",36,3,1,29,23,7,3,1,1,41,27,13,5,4,14,6,7,26,1,4,14,13,10,13
"11","2013","09","25","Tokyo","R16","hard","L",83,0,9,51,33,32,12,10,3,111,49,28,17,11,41,17,15,45,0,15,23,16,41,26
"12","2013","10","20","Moscow","F","hard","W",72,1,3,56,33,16,12,5,3,87,45,24,10,13,29,17,9,45,0,10,18,20,31,19
"13","2013","10","31","Sofia","RR","hard","W",45,5,6,26,19,19,6,2,0,43,31,17,7,3,18,5,7,25,2,4,14,17,11,17
"14","2013","11","03","Sofia","F","hard","W",62,2,4,46,32,16,10,4,1,71,31,18,10,6,20,11,5,42,0,7,12,9,44,9
"15","2014","01","05","Sydney","R32","hard","L",61,1,7,40,20,21,5,12,5,58,26,7,3,2,31,12,12,25,1,4,9,6,41,14
"16","2014","01","14","Australian_Open","R128","hard","W",39,3,2,24,19,15,9,2,2,35,22,12,4,2,12,7,3,28,3,4,11,9,14,16
"17","2014","01","18","Australian_Open","R32","hard","W",50,1,3,25,17,25,14,4,2,54,31,19,11,6,24,9,12,31,1,6,15,17,14,19
"18","2014","01","20","Australian_Open","R16","hard","W",66,0,4,42,26,24,14,8,4,82,40,21,12,7,24,17,3,40,2,9,14,18,22,25
"19","2014","01","22","Australian_Open","QF","hard","L",43,2,1,29,13,14,6,9,4,43,13,9,2,5,24,16,7,19,0,4,6,11,22,10
"20","2014","02","14","Doha","QF","hard","W",42,3,0,29,21,13,9,3,3,34,21,31,20,8,10,6,4,30,0,1,6,9,17,16
"21","2014","02","15","Doha","SF","hard","W",66,0,2,45,26,21,9,7,3,64,39,25,10,14,33,11,20,35,1,6,8,19,25,22
"22","2014","02","16","Doha","F","hard","W",55,2,1,37,27,18,11,4,4,59,28,23,13,7,8,5,2,38,1,6,18,21,17,17
"23","2014","03","07","Indian_Wells","R64","hard","W",47,2,1,31,21,16,8,5,3,49,30,24,10,12,17,9,7,29,0,6,10,12,20,15
"24","2014","03","09","Indian_Wells","R32","hard","W",83,5,4,50,39,33,15,8,5,78,33,21,9,5,30,13,13,54,2,18,29,34,21,28
"25","2014","03","11","Indian_Wells","R16","hard","W",69,2,3,37,25,32,13,6,1,75,35,15,9,3,34,14,17,38,1,10,19,20,26,23
"26","2014","03","13","Indian_Wells","QF","hard","W",59,4,3,40,30,19,10,10,10,39,20,17,6,7,20,9,8,40,0,5,13,20,14,25
"27","2014","03","14","Indian_Wells","SF","hard","L",54,0,4,41,22,13,6,6,2,67,26,20,11,9,44,16,24,28,0,2,4,13,25,16
"28","2014","04","24","Stuttgart","R32","clay","L",78,1,3,49,30,29,16,7,4,67,20,20,10,9,31,13,15,46,0,10,16,30,27,21
"29","2014","05","06","Madrid","R64","clay","W",39,2,3,24,19,15,8,3,2,53,32,17,5,9,11,3,5,27,1,7,15,11,14,14
"30","2014","05","07","Madrid","R32","clay","W",51,9,0,30,21,21,13,4,2,76,36,29,8,12,23,13,10,34,0,1,13,14,20,17
"31","2014","05","08","Madrid","R16","clay","W",97,4,3,53,39,44,19,7,4,99,46,26,14,7,34,19,12,58,1,10,22,25,52,20
"32","2014","05","09","Madrid","QF","clay","W",49,1,0,32,19,17,10,2,0,48,29,9,8,0,14,5,9,29,0,11,21,17,14,18
"33","2014","05","10","Madrid","SF","clay","W",95,8,2,57,42,38,21,6,4,121,55,24,8,6,28,13,13,63,2,17,39,29,29,37
"34","2014","05","11","Madrid","F","clay","L",84,4,4,49,33,35,12,6,1,75,31,15,7,4,34,12,18,45,0,12,24,24,38,21
"35","2014","05","27","Roland_Garros","R128","clay","W",36,3,1,18,15,18,11,1,0,50,31,8,3,2,8,2,5,26,0,6,17,7,18,11
"36","2014","05","29","Roland_Garros","R64","clay","W",58,5,3,32,24,26,12,6,4,69,36,19,10,4,15,7,5,36,0,6,19,7,33,17
"37","2014","05","31","Roland_Garros","R32","clay","W",52,2,3,32,22,20,12,8,8,57,32,20,8,9,16,6,7,34,1,8,20,13,28,11
"38","2014","06","02","Roland_Garros","R16","clay","W",66,2,6,34,20,32,16,7,3,56,33,19,9,8,25,11,8,36,0,4,11,16,36,14
"39","2014","06","04","Roland_Garros","QF","clay","W",60,1,3,44,25,16,8,9,7,48,29,17,11,5,23,11,9,33,0,5,11,11,40,9
"40","2014","06","05","Roland_Garros","SF","clay","W",66,3,2,50,37,16,9,1,0,67,31,23,17,3,24,15,7,46,0,5,13,16,32,17
"41","2014","06","07","Roland_Garros","F","clay","L",112,1,4,71,40,41,13,20,11,115,54,20,14,5,41,17,20,53,0,7,15,24,61,27
"42","2014","06","24","Wimbledon","R128","grass","W",43,3,1,26,22,17,12,0,0,68,34,19,8,8,16,8,7,34,0,12,23,10,21,12
"43","2014","06","27","Wimbledon","R64","grass","W",90,5,2,59,38,31,18,7,4,92,39,27,9,11,39,21,16,56,2,14,28,27,47,16
"44","2014","06","28","Wimbledon","R32","grass","W",51,6,2,31,24,20,12,3,3,76,37,24,13,5,27,20,5,36,0,6,19,19,14,18
"45","2014","07","01","Wimbledon","R16","grass","W",39,2,2,19,16,20,14,2,2,56,32,18,6,8,12,6,4,30,2,7,18,11,12,16
"46","2014","07","02","Wimbledon","QF","grass","W",50,3,3,25,20,25,13,2,1,53,30,16,11,2,14,8,3,33,0,10,19,14,20,16
"47","2014","07","03","Wimbledon","SF","grass","L",78,1,5,50,28,28,14,9,6,67,23,12,5,6,36,15,16,42,0,9,15,18,38,22
"48","2014","07","09","Bucharest","R32","clay","W",49,1,4,20,13,29,16,6,4,55,32,15,11,2,23,14,5,29,1,6,18,12,27,10
"49","2014","07","10","Bucharest","R16","clay","W",59,0,3,39,26,20,6,7,4,46,26,16,9,7,28,10,15,32,0,5,10,11,38,10
"50","2014","07","11","Bucharest","QF","clay","W",44,1,1,31,24,13,6,2,1,49,30,24,13,10,14,8,5,30,0,3,8,10,30,4
"51","2014","07","12","Bucharest","SF","clay","W",89,7,3,61,43,28,9,9,5,82,46,34,17,10,39,16,20,52,0,7,19,36,36,17
"52","2014","07","13","Bucharest","F","clay","W",51,3,2,32,23,19,12,6,5,63,34,29,12,14,11,6,3,35,0,5,17,15,21,15
"53","2014","08","14","Cincinnati","R16","hard","W",68,5,6,36,23,32,19,5,3,59,27,15,8,2,28,13,9,42,0,9,19,22,22,24
"54","2014","08","15","Cincinnati","QF","hard","L",83,5,4,48,22,35,16,10,2,97,48,17,6,6,31,14,13,38,0,5,18,22,44,17
"55","2014","09","24","Wuhan","R32","hard","L",91,4,6,49,32,42,16,12,6,88,39,22,9,6,40,15,19,48,3,15,26,28,33,30
"56","2014","09","29","Beijing","R16","hard","W",57,0,2,31,20,26,18,2,2,55,27,14,7,6,23,9,12,38,1,5,7,24,10,23
"57","2014","10","01","Beijing","R32","hard","W",65,4,2,36,28,29,14,5,3,77,33,15,6,5,27,7,18,42,0,12,22,17,28,20
"58","2014","10","03","Beijing","R16","hard","L",108,3,8,63,38,45,19,12,3,110,52,32,20,9,68,33,27,57,0,7,21,34,48,26
"59","2014","10","20","Singapore","RR","hard","W",47,0,1,23,19,24,15,2,2,56,26,11,5,5,16,9,6,34,1,12,18,14,21,12
"60","2014","10","22","Singapore","RR","hard","W",53,2,2,34,22,19,13,6,6,42,25,10,4,4,16,7,7,35,0,5,14,14,21,18
"61","2014","10","24","Singapore","RR","hard","L",101,6,8,68,46,33,12,13,8,109,46,31,15,10,49,14,27,58,0,20,38,31,30,40
"62","2014","10","25","Singapore","SF","hard","W",47,4,4,27,23,20,10,2,1,48,26,25,13,8,19,8,7,33,0,6,14,13,17,17
"63","2014","10","26","Singapore","F","hard","L",51,2,3,28,13,23,8,9,3,51,20,5,2,1,23,12,8,21,0,7,12,9,28,14
"64","2015","01","06","Shenzhen","R32","hard","W",77,4,9,51,33,26,14,6,2,85,37,25,10,10,40,12,19,47,1,7,18,17,27,32
"65","2015","01","08","Shenzhen","QF","hard","W",55,2,4,35,24,20,10,5,3,50,23,15,10,3,20,10,6,34,0,6,13,15,26,12
"66","2015","01","08","Shenzhen","R16","hard","W",51,3,2,35,24,16,9,6,5,56,30,13,6,2,16,9,5,33,2,6,15,18,16,16
"67","2015","01","09","Shenzhen","SF","hard","W",53,1,4,34,23,19,9,6,4,52,30,21,15,4,21,9,8,32,1,5,8,17,23,13
"68","2015","01","10","Shenzhen","F","hard","W",40,1,0,27,22,13,8,0,0,53,26,19,11,7,12,5,7,30,0,6,10,14,10,16
"69","2015","01","19","Australian_Open","R128","hard","W",58,1,2,32,21,26,11,6,3,62,37,15,8,6,29,17,10,32,0,5,9,17,21,20
"70","2015","01","21","Australian_Open","R64","hard","W",52,7,2,38,30,14,6,1,1,51,24,21,9,4,14,7,5,36,1,10,19,13,17,22
"71","2015","01","23","Australian_Open","R32","hard","W",65,3,5,27,22,38,21,4,2,74,33,30,15,10,23,9,9,43,2,7,16,17,26,22
"72","2015","01","25","Australian_Open","R16","hard","W",50,6,4,29,23,21,10,2,0,71,36,25,10,8,15,6,5,33,1,7,18,16,18,16
"73","2015","01","27","Australian_Open","QF","hard","L",50,3,4,28,15,22,8,6,1,61,23,13,4,5,27,13,10,23,1,7,13,12,19,19
"74","2015","02","17","Dubai","R32","hard","W",42,2,6,17,13,25,17,1,1,61,33,19,8,7,14,5,3,30,2,5,11,5,19,18
"75","2015","02","18","Dubai","R16","hard","W",57,3,5,36,25,21,11,4,2,60,28,15,7,4,29,13,11,36,1,12,17,25,18,14
"76","2015","02","19","Dubai","QF","hard","W",80,3,7,48,32,32,15,9,4,105,47,14,5,6,44,19,18,47,0,14,19,18,42,20
"77","2015","02","20","Dubai","SF","hard","W",78,2,5,48,28,30,17,8,5,60,32,17,10,5,37,15,17,45,0,7,16,28,27,23
"78","2015","02","21","Dubai","F","hard","W",79,1,7,49,31,30,13,7,3,70,34,16,8,6,28,12,9,44,1,11,21,22,40,16
"79","2015","03","13","Indian_Wells","R64","hard","W",80,1,7,52,34,28,11,10,6,86,44,15,6,8,33,19,7,45,0,10,16,17,44,18
"80","2015","03","15","Indian_Wells","R32","hard","W",96,1,7,52,33,44,25,14,12,88,43,23,9,13,27,9,11,58,0,11,20,26,39,31
"81","2015","03","17","Indian_Wells","R16","hard","W",67,3,4,47,29,20,11,2,0,56,25,17,10,4,16,7,5,40,0,11,21,19,28,20
"82","2015","03","18","Indian_Wells","QF","hard","W",93,2,3,68,41,25,13,10,6,79,42,29,11,15,31,10,18,54,1,8,17,23,47,23
"83","2015","03","22","Indian_Wells","F","hard","W",107,0,3,75,38,32,13,16,7,93,49,22,14,8,47,21,23,51,0,9,13,34,36,37
"84","2015","03","27","Miami","R64","hard","W",72,4,6,39,24,33,11,10,4,82,46,17,7,6,32,15,11,35,0,13,20,8,43,21
"85","2015","03","29","Miami","R32","hard","W",67,0,5,45,27,22,10,7,3,67,35,13,7,6,25,12,8,37,0,13,18,11,40,16
"86","2015","03","30","Miami","R16","hard","W",66,0,4,44,27,22,13,7,4,67,34,13,7,6,36,15,17,40,0,6,12,9,35,22
"87","2015","04","01","Miami","QF","hard","W",59,0,0,44,27,15,10,4,2,52,27,17,13,3,25,14,11,37,1,6,13,10,33,16
"88","2015","04","02","Miami","SF","hard","L",95,1,3,66,40,29,15,6,2,79,24,10,7,1,27,14,10,55,1,15,27,15,59,21
"89","2015","04","22","Stuttgart","R16","clay","W",94,2,4,71,45,23,11,8,5,82,37,19,11,6,28,15,9,56,0,15,25,14,52,28
"90","2015","04","24","Stuttgart","QF","clay","W",62,2,0,46,18,16,7,8,1,65,44,26,12,12,27,12,15,25,0,6,14,12,30,20
"91","2015","04","25","Stuttgart","SF","clay","L",105,4,2,69,41,36,17,11,5,132,55,41,16,21,54,25,27,58,0,7,15,37,35,33
"92","2015","05","03","Madrid","R64","clay","L",79,1,1,54,35,25,11,10,7,71,26,17,6,9,42,18,23,46,1,11,19,13,41,25
"93","2015","05","13","Rome","R32","clay","W",50,3,3,30,26,20,8,3,2,37,24,23,13,7,16,9,4,34,0,5,16,12,24,14
"94","2015","05","14","Rome","R16","clay","W",38,3,3,22,17,16,9,2,1,48,28,12,4,4,10,4,3,26,1,2,13,13,15,10
"95","2015","05","15","Rome","QF","clay","W",49,4,2,32,25,17,8,5,5,38,24,20,12,4,16,7,7,33,0,13,22,21,9,19
"96","2015","05","16","Rome","SF","clay","L",103,0,1,88,41,15,4,20,11,106,55,30,13,17,58,38,19,45,0,7,11,24,61,18
"97","2015","05","24","Roland_Garros","R128","clay","W",57,2,3,37,28,20,9,3,0,71,36,24,14,7,22,14,5,37,1,5,16,15,20,22
"98","2015","05","27","Roland_Garros","R64","clay","L",56,0,2,35,18,21,9,8,3,50,16,5,4,1,18,10,6,27,0,8,12,14,32,10
"99","2015","06","16","Birmingham","R32","grass","W",54,5,1,31,24,23,13,2,1,56,27,13,4,4,12,5,6,37,0,8,20,13,27,14
"100","2015","06","18","Birmingham","R16","grass","W",43,5,2,34,27,9,3,2,1,50,27,14,4,5,19,8,9,30,0,9,17,18,15,10
"101","2015","06","19","Birmingham","QF","grass","L",81,3,4,48,34,33,17,10,7,83,32,24,9,10,29,15,10,51,2,15,29,16,44,21
"102","2015","08","12","Toronto","R32","hard","W",57,0,2,45,36,12,6,3,3,65,25,12,9,3,22,14,6,42,0,9,17,24,19,14
"103","2015","08","13","Toronto","R16","hard","W",90,3,2,60,31,30,15,12,4,117,63,26,15,8,48,19,27,46,0,9,19,26,38,25
"104","2015","08","14","Toronto","QF","hard","W",75,2,4,48,32,27,11,11,7,71,33,25,14,9,33,13,16,43,0,11,26,20,32,23
"105","2015","08","15","Toronto","SF","hard","W",66,2,1,47,32,19,7,8,5,71,34,29,14,12,45,23,21,39,1,5,15,24,22,20
"106","2015","08","16","Toronto","F","hard","L",114,1,2,81,40,33,15,23,14,89,42,29,17,11,64,33,29,55,0,9,19,36,51,27
"107","2015","08","19","Cincinnati","R32","hard","W",97,3,3,64,42,33,13,11,4,120,58,39,20,15,38,23,12,55,1,12,23,29,46,22
"108","2015","08","20","Cincinnati","R16","hard","W",102,3,0,71,40,31,19,17,13,117,56,29,19,7,44,26,18,59,0,9,21,38,34,30
"109","2015","08","21","Cincinnati","QF","hard","W",72,1,4,43,28,29,13,8,5,76,37,20,12,6,22,12,6,41,1,12,19,20,34,18
"110","2015","08","22","Cincinnati","SF","hard","W",42,2,3,28,19,14,6,2,0,58,35,20,9,8,16,7,6,25,1,8,11,13,14,15
"111","2015","08","23","Cincinnati","F","hard","L",71,2,1,52,32,19,6,6,3,80,30,18,11,5,17,9,7,38,0,14,20,13,37,21
"112","2015","09","01","US_Open","R128","hard","W",26,2,1,15,13,11,7,0,0,37,21,12,5,4,5,2,2,20,1,4,10,7,9,10
"113","2015","09","03","US_Open","R64","hard","W",52,4,3,27,21,25,14,1,0,64,30,18,11,2,13,4,6,35,1,10,18,18,17,17
"114","2015","09","07","US_Open","R16","hard","W",113,1,6,82,46,31,12,13,6,107,59,16,7,5,36,16,14,58,3,10,20,28,45,40
"115","2015","09","09","US_Open","QF","hard","W",88,4,5,67,47,21,6,5,0,111,53,39,19,14,27,7,15,53,2,11,24,20,26,41
"116","2015","09","11","US_Open","SF","hard","L",45,0,3,31,13,14,5,10,4,47,18,10,7,3,26,14,9,18,0,1,4,13,17,15
"117","2015","09","22","Guangzhou","R32","hard","W",52,5,7,31,24,21,6,3,1,58,31,23,11,7,28,13,8,30,0,9,17,18,8,26
"118","2015","09","23","Guangzhou","R16","hard","W",46,3,1,29,18,17,9,6,4,45,27,20,7,10,16,9,6,27,0,7,14,13,16,17
"119","2015","09","24","Guangzhou","QF","hard","L",55,3,3,28,19,27,8,7,3,62,23,14,5,5,29,17,9,27,1,8,16,21,12,22
"120","2015","09","29","Wuhan","R32","hard","W",48,3,2,28,20,20,13,4,3,40,23,17,7,7,8,2,4,33,0,7,18,14,15,19
"121","2015","09","30","Wuhan","R16","hard","L",109,2,4,64,40,45,21,14,9,92,38,23,16,4,45,16,25,61,1,11,27,34,38,37
"122","2015","10","25","Singapore","RR","hard","W",41,2,1,24,19,17,14,2,2,52,26,14,9,2,15,6,8,33,1,4,8,14,14,13
"123","2015","10","27","Singapore","RR","hard","L",71,1,2,50,29,21,8,11,6,63,27,10,6,3,29,15,12,37,0,8,11,14,38,19
"124","2015","10","29","Singapore","RR","hard","L",69,0,4,40,21,29,14,8,4,82,32,19,13,6,31,12,15,35,0,8,15,17,31,21
"125","2016","01","12","Sydney","R16","hard","W",79,2,4,58,38,21,10,5,3,78,34,18,6,9,32,16,12,48,1,11,22,26,26,27
"126","2016","01","13","Sydney","QF","hard","W",81,2,2,57,30,24,14,7,4,73,34,22,13,5,34,20,12,44,2,7,18,20,42,19
"127","2016","01","14","Sydney","SF","hard","L",97,1,3,70,43,27,12,7,3,116,54,31,19,10,44,18,23,55,1,9,20,24,50,23
"128","2016","01","19","Australian_Open","R128","hard","L",49,1,0,36,18,13,4,7,2,72,30,11,5,5,21,11,10,22,0,8,12,15,18,16
"129","2016","02","07","Fed_Cup_World_Group_R1","RR","hard","W",92,1,5,60,40,32,14,13,9,90,39,9,3,5,20,7,8,54,0,19,24,32,33,27
"130","2016","02","17","Dubai","R16","hard","L",73,1,3,49,29,24,7,9,5,82,32,13,7,4,34,17,14,36,1,8,11,12,41,20
"131","2016","02","23","Doha","R32","hard","L",96,2,6,53,29,43,19,15,7,117,55,31,18,11,51,21,24,48,0,7,15,24,50,22
"132","2016","03","11","Indian_Wells","R64","hard","W",41,2,0,30,18,11,8,3,1,39,29,18,6,10,14,6,8,26,0,3,6,17,15,9
"133","2016","03","13","Indian_Wells","R32","hard","W",44,1,0,33,24,11,8,1,0,55,26,16,11,3,16,9,7,32,1,6,10,15,22,7
"134","2016","03","16","Indian_Wells","QF","hard","L",58,1,2,36,21,22,11,9,5,50,15,9,6,2,17,11,4,32,0,7,15,10,30,18
"135","2016","03","24","Miami","R64","hard","W",56,1,1,40,26,16,8,4,1,74,41,25,15,9,31,23,7,34,0,3,9,23,16,17
"136","2016","03","26","Miami","R32","hard","W",60,0,0,41,26,19,12,8,7,77,40,17,11,6,23,13,10,38,0,9,16,17,23,20
"137","2016","03","28","Miami","R16","hard","W",54,2,2,42,25,12,8,4,1,69,35,11,3,6,19,11,6,33,0,9,16,19,15,20
"138","2016","03","29","Miami","QF","hard","L",81,0,2,51,29,30,16,9,4,96,39,17,9,8,44,18,24,45,0,5,11,25,32,24
